number_plate,image_link,detected_number_plate,rider_violation,pillion_violation,mobile_usage,triple_riding,message,Result,Manual Observation,Capture Status,Capture Observation
KA09HP4322,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HP4322_1763523505906.jpg,HP42222,rider_not_wearing_helmet (0.71),,,,Violation detected,Incomplete,wrong no plate detected,None,
KA42V2301,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA42V2301_1763523164066.jpg,KA42V230,,pillion_not_wearing_helmet (0.38),,,Violation detected,Incomplete,"no plate not detected, rider not wearing helmet not detected",None,
KA09JB8844,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JB8844_1763522035265.jpg,KA09JY8844,rider_not_wearing_helmet (0.64),,,,Violation detected,Incomplete,pillion not wearing helmet not detected,None,
KA09HF2043,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HF2043_1763521806039.jpg,TS09HF2343,rider_not_wearing_helmet (0.76),pillion_not_wearing_helmet (0.64),,,Violation detected,Incomplete,wrong no plate detected,None,
KA09HA0077,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA0077_1763521419544.jpg,KA09H0077,rider_not_wearing_helmet (0.67),,mobile_usage (0.24),,Violation detected,Incomplete,wrong no plate detected,None,
KA09JB8370,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JB8370_1763523746970.jpg,KA09JB8370,,pillion_not_wearing_helmet (0.56),,,Violation detected,Incomplete,rider not wearing helmet not detected,None,
KA09HQ3970,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HQ3970_1763521196552.jpg,KA09H03970,,pillion_not_wearing_helmet (0.73),,,Violation detected,Incomplete,"wrong no plate detected, triple riding not detected",None,
KA09J7117,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09J7117_1763548708358.jpg,AJ7117,rider_not_wearing_helmet (0.38),,,,Violation detected,Incomplete,wrong no plate detected,None,
KA55S9441,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55S9441_1763528027298.jpg,KA55S9441,,pillion_not_wearing_helmet (0.58); pillion_not_wearing_helmet (0.37),,,Violation detected,Incomplete,rider not wearing helmet not detected,None,
KA09HE0575,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE0575_1763523164272.jpg,KA09HE9575,rider_not_wearing_helmet (0.73),pillion_not_wearing_helmet (0.52),,,Violation detected,Incomplete,wrong no plate detected,None,
KA09HA4837,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HA4837_1763524231917.jpg,KAOSHA083,rider_not_wearing_helmet (0.65),,,,Violation detected,Incomplete,wrong no plate detected,None,
KA09HL7073,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HL7073_1763521570221.jpg,KA09H7073,rider_not_wearing_helmet (0.31),pillion_not_wearing_helmet (0.43),,,Violation detected,Incomplete,wrong no plate detected,None,
KA13X4216,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA13X4216_1763525249109.jpg,KA13X421,rider_not_wearing_helmet (0.71),,,,Violation detected,Incomplete,"wrong no plate detected, pillion not wearing helmet not detected",None,
KA49V4551,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA49V4551_1763522097156.jpg,KL4578510,rider_not_wearing_helmet (0.65),,,,Violation detected,Incomplete,wrong no plate detected,None,
KA55U3554,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55U3554_1763525463610.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, both rider and pillion  wearing helmet not detected",Ignored,
KA55EC2707,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55EC2707_1763523505948.jpg,KA5SEC2707,rider_not_wearing_helmet (0.69),,,,Violation detected,Correct Detection,correct detection,None,
KA09HF4811,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HF4811_1763524690043.jpg,KA09HF48,,pillion_not_wearing_helmet (0.60),,,Violation detected,Incomplete,wrong no plate detected,None,
KA09JG5283,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG5283_1763543706831.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, both rider and pillion not wearing helmet not detected",Ignored,
KA09JA6910,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA6910_1763527523423.jpg,KA09JY4941,rider_not_wearing_helmet (0.62),,,,Violation detected,Incomplete,pillion not wearing helmet not detected,None,
KA09HB9904,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HB9904_1763525248943.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, rider not wearing helmet not detected",Ignored,
KA45ED1652,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45ED1652_1763521806039.jpg,KA45ED1652,rider_not_wearing_helmet (0.32),,,,Violation detected,Correct Detection,correct detection,None,
KA09HE2655,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE2655_1763522495954.jpg,KA09HP2165,rider_not_wearing_helmet (0.77),,,,Violation detected,Correct Detection,correct detection,None,
KA11ET3969,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11ET3969_1763523746930.jpg,KA113969,,pillion_not_wearing_helmet (0.38),,,Violation detected,Incomplete,"wrong no plate detected, rider not wearing helmet not detected",None,
KA09EL1601,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL1601_1763525020527.jpg,KA09L1601,rider_not_wearing_helmet (0.55),pillion_not_wearing_helmet (0.44),,,Violation detected,Incomplete,wrong no plate detected,None,
KA09JG4236,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG4236_1763523400348.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, rider wearing helmet not detected",Ignored,
KA55EB4235,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55EB4235_1763522097092.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, both rider and pillion not wearing helmet not detected",Ignored,
KA09J9915,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09J9915_1763524616733.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, rider not wearing helmet not detected",Ignored,
KA09ER1269,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ER1269_1763523400352.jpg,,rider_not_wearing_helmet (0.55),,,,Violation detected,Incomplete,no plate not detected,None,
KA05LG9800,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA05LG9800_1763523270762.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"no plate not detected, rider wearing helmet not detected",Ignored,
KA10Q7756,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA10Q7756_1763523400632.jpg,4107750,rider_not_wearing_helmet (0.58),pillion_not_wearing_helmet (0.52),,,Violation detected,Incomplete,"wrong no plate detected, triple riding not detected",None,
KA09EG6111,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EG6111_1763529681981.jpg,KA09EG6111,rider_not_wearing_helmet (0.67),,,,Violation detected,Correct Detection,correct detection,None,
KA55X0687,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55X0687_1763524616546.jpg,KA55X0687,rider_not_wearing_helmet (0.62),pillion_not_wearing_helmet (0.47),,,Violation detected,Correct Detection,correct detection,None,
KA55X3226,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55X3226_1763521419504.jpg,KA55X3226,rider_not_wearing_helmet (0.53),,,,Violation detected,Correct Detection,correct detection,None,
KA10X7613,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA10X7613_1763521569975.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,correct detection,Correct,
KA10S6139,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA10S6139_1763522389718.jpg,KA10S6139,rider_not_wearing_helmet (0.33),pillion_not_wearing_helmet (0.32),,,Violation detected,Correct Detection,correct detection,None,
KA09ER9531,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ER9531_1763523665679.jpg,KA09ER9531,rider_not_wearing_helmet (0.71),,,,Violation detected,Correct Detection,correct detection,None,
KA09HC7891,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HC7891_1763523505991.jpg,KA03HC7891,rider_not_wearing_helmet (0.42),,,,Violation detected,Incomplete,"pillion not wearing helmet not detected, triple riding not detected",None,
KA09HC7891,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HC7891_1763523505991.jpg,,,pillion_not_wearing_helmet (0.21),,,Violation detected,Incomplete,"rider not wearing helmet not detected, triple riding not detected, number plate not detcted",None,
KA09HW2089,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HW2089_1763524616800.jpg,KA09H2089,,pillion_not_wearing_helmet (0.57); pillion_not_wearing_helmet (0.51),,,Violation detected,Incomplete,"rider not wearing helmet not detected, number plate not detcted",None,
KA09ET4052,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ET4052_1763525315919.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,correct detection,Correct,
KA08S2862,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA08S2862_1763524616701.jpg,KA08S2862,rider_not_wearing_helmet (0.53),,,,Violation detected,Correct Detection,correct detection,None,
KA09S7679,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09S7679_1763521923247.jpg,KA0957679,rider_not_wearing_helmet (0.63),,,,Violation detected,Correct Detection,pillion not wearing helmet not detected,None,
KA05KV2155,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA05KV2155_1763522302662.jpg,KA05K2165,rider_not_wearing_helmet (0.66),,,,Violation detected,Incomplete,numberplate not read correctly,None,
KA09Y2857,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Y2857_1763525628456.jpg,KA09Y2857,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,pillion not wearing helmet not detected,None,
KA13EJ2534,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA13EJ2534_1763523164199.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider and pillion not wearing helmet,Ignored,
KA09JD4204,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JD4204_1763526991150.jpg,KAOZ16134,rider_not_wearing_helmet (0.53),,,,Violation detected,Correct Detection,numberplate not read correctly,None,
KA09EM4491,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EM4491_1763523665642.jpg,,rider_not_wearing_helmet (0.57),,,,Violation detected,Correct Detection,numberplate not read correctly,None,
KA09EM4491,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EM4491_1763523665642.jpg,KA09EM449,,pillion_not_wearing_helmet (0.27),,,Violation detected,Correct Detection,correct detection,None,
KA11S2458,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11S2458_1763522389719.jpg,KANG2458,rider_not_wearing_helmet (0.71),,,,Violation detected,Correct Detection,numberplate not read correctly,None,
KA09EF5561,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EF5561_1763523400675.jpg,KA09EF5064,rider_not_wearing_helmet (0.67),pillion_not_wearing_helmet (0.44),,,Violation detected,Correct Detection,correct detection,None,
KA09JA9500,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA9500_1763521805892.jpg,KA09JB9540,,pillion_not_wearing_helmet (0.64),,,Violation detected,Correct Detection,correct detection,None,
KA09HF6871,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HF6871_1763524428330.jpg,KA09F6871,,pillion_not_wearing_helmet (0.65),,,Violation detected,Correct Detection,numberplate not read correctly,None,
KA09JH0829,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JH0829_1763524427992.jpg,,,,,triple_riding (0.76),Violation detected,Wrong,"rider and pillion not wearing helmet,no triple riding",None,
KA09HN9527,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HN9527_1763525060749.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,Rider not wearing helmet,Ignored,
KA09HD2759,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HD2759_1763524616733.jpg,KA05HD2759,,pillion_not_wearing_helmet (0.36),,,Violation detected,Correct Detection,Pillion not wearing helmet,None,
KA04HH4411,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04HH4411_1763522671650.jpg,CINXUSRKDAMA,rider_not_wearing_helmet (0.59),pillion_not_wearing_helmet (0.52),,,Violation detected,Incomplete,"Rider and Pillion not wearing helmet,Number plate not proper",None,
KA09HE1185,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE1185_1763523991836.jpg,R60VE1185,,pillion_not_wearing_helmet (0.34); pillion_not_wearing_helmet (0.22),,,Violation detected,Wrong,Pillion not there,None,
KA09HL1635,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HL1635_1763524083120.jpg,KA09HL1635,rider_not_wearing_helmet (0.68),,,,Violation detected,Correct Detection,Rider not wearing helmet,None,
KA11EB1473,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11EB1473_1763521806043.jpg,KA11EB1473,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,Rider not wearing helmet,None,
KA09JA4661,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA4661_1763523164083.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,Rider wearing helmet,Correct,
KA55EB3255,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55EB3255_1763530343600.jpg,KA55EB3225,rider_not_wearing_helmet (0.60),,,,Violation detected,Correct Detection,Rider not wearing helmet,None,
KA11Y6763,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11Y6763_1763523270768.jpg,,rider_not_wearing_helmet (0.36),,,,Violation detected,Incomplete,"Rider and Pillion not wearing helmet,Number plate not proper",None,
KA12J9984,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA12J9984_1763522982235.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,Rider and Pillion not wearing helmet,Ignored,
KA55V2466,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55V2466_1763525315922.jpg,KA55V2466,rider_not_wearing_helmet (0.54),pillion_not_wearing_helmet (0.74),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09JA1949,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA1949_1763521196543.jpg,KA09JA1949,,pillion_not_wearing_helmet (0.53),,,Violation detected,Wrong,rear view,None,
KA55X4643,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55X4643_1763522389718.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,Rider wearing helmet,Correct,
KA09J9948,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09J9948_1763564099603.jpg,KA09JR9048,,pillion_not_wearing_helmet (0.54),,,Violation detected,Correct Detection,pillion_not_wearing_helmet ,None,
KA09J9948,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09J9948_1763564099603.jpg,,rider_not_wearing_helmet (0.53),,,,Violation detected,Wrong,pillion_not_wearing_helmet ,None,
KA09HQ1923,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HQ1923_1763564095554.jpg,KA09H01923,rider_not_wearing_helmet (0.77),,,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA55K8250,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55K8250_1763523505901.jpg,KA55K8250,,pillion_not_wearing_helmet (0.27),,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09JJ8908,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JJ8908_1763570537769.jpg,KA09HJ8908,,pillion_not_wearing_helmet (0.46),,,Violation detected,Correct Detection,pillion_not_wearing_helmet ,None,
KA09HQ1923,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HQ1923_1763564095554.jpg,KA09H01923,rider_not_wearing_helmet (0.77),,,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA53L8036,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA53L8036_1763565476865.jpg,KA53L8036,,pillion_not_wearing_helmet (0.57),,,Violation detected,Correct Detection,pillion_not_wearing_helmet ,None,
KA09EG6261,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EG6261_1763574589281.jpg,KA09EG6261,rider_not_wearing_helmet (0.65),pillion_not_wearing_helmet (0.50),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09EG6261,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EG6261_1763574589281.jpg,KA09EG6261,rider_not_wearing_helmet (0.65),pillion_not_wearing_helmet (0.50),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA45EC0660,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA45EC0660_1763563132094.jpg,KA45EC0660,,pillion_not_wearing_helmet (0.21),,,Violation detected,Correct Detection,pillion_not_wearing_helmet ,None,
KA45L2444,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA45L2444_1763583933853.jpg,,,pillion_not_wearing_helmet (0.31),,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA09JA6839,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA6839_1763564095488.jpg,EL09JN6939,rider_not_wearing_helmet (0.68),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA11EJ0785,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11EJ0785_1763574585554.jpg,KA11E30725,rider_not_wearing_helmet (0.67),,,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09JA1444,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA1444_1763569974463.jpg,KA09JCO144,rider_not_wearing_helmet (0.78),,,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09HC2688,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HC2688_1763551027610.jpg,KA09HC2688,rider_not_wearing_helmet (0.28),,,,Violation detected,Incomplete,pillion_not_wearing_helmet ,None,
KA09JA1444,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JA1444_1763569974463.jpg,KA09JCO144,rider_not_wearing_helmet (0.78),,,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09EH1297,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EH1297_1763574587175.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,correct_detection,Correct,
KA05EJ2007,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA05EJ2007_1763603722517.jpg,KA05J2007,rider_not_wearing_helmet (0.76),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA55EC0119,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA55EC0119_1763601156001.jpg,KASSEC7019,rider_not_wearing_helmet (0.43),,,,Violation detected,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09EV8544,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09EV8544_1763602280023.jpg,KA09V9504,rider_not_wearing_helmet (0.73),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA09HW7475,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HW7475_1763600311866.jpg,KA09HR7475,,pillion_not_wearing_helmet (0.39),,,Violation detected,Correct Detection,correct_detection,None,
KA09HA0476,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HA0476_1763603376512.jpg,KA09HA0476,rider_not_wearing_helmet (0.75); rider_not_wearing_helmet (0.63),pillion_not_wearing_helmet (0.59),,,Violation detected,Incomplete,triple riding,None,
KA09HM4567,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HM4567_1763605047141.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,correct_detection,Ignored,
KA09HA9113,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HA9113_1763601316352.jpg,KA09MA9113,rider_not_wearing_helmet (0.56),,,,Violation detected,Correct Detection,correct_detection,None,
KA02JT1725,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA02JT1725_1763604205424.jpg,KA02JT1725,rider_not_wearing_helmet (0.75),pillion_not_wearing_helmet (0.40),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09JJ5509,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JJ5509_1763603942082.jpg,KA09JT5509,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,correct_detection,None,
KA09JD8140,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JD8140_1763601316293.jpg,KA09108140,rider_not_wearing_helmet (0.56),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA05EJ3603,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA05EJ3603_1763602583015.jpg,KA05EJ9603,rider_not_wearing_helmet (0.52),,,,Violation detected,Incomplete,triple riding,None,
KA09EV5138,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09EV5138_1763605545386.jpg,A09E5138,rider_not_wearing_helmet (0.67),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA07R6337,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA07R6337_1763602661322.jpg,KA07R633,rider_not_wearing_helmet (0.75),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA55V0819,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA55V0819_1763600065212.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider_not_wearing_helmet,Ignored,
KA11U5326,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA11U5326_1763600311859.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,correct_detection,Correct,
KA09J5564,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09J5564_1763601823981.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider_not_wearing_helmet,Ignored,
KA04EL1143,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA04EL1143_1763601316134.jpg,749EL1,rider_not_wearing_helmet (0.62),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA45U9744,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA45U9744_1763604205468.jpg,KA45U9744,rider_not_wearing_helmet (0.46),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA51EQ6134,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA51EQ6134_1763602280017.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider_not_wearing_helmet,Ignored,
KA11Q5131,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA11Q5131_1763603942193.jpg,,rider_not_wearing_helmet (0.22),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA09ED8051,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09ED8051_1763602583229.jpg,KA09ED805,rider_not_wearing_helmet (0.52),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA43U4766,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA43U4766_1763605047290.jpg,KA45U4763,rider_not_wearing_helmet (0.68),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA11EG6679,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA11EG6679_1763603942354.jpg,KA11EG6679,rider_not_wearing_helmet (0.64),,,,Violation detected,Incomplete,triple riding,None,
KA09EV2171,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09EV2171_1763600065212.jpg,100100010,,pillion_not_wearing_helmet (0.50),,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA06ER4160,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA06ER4160_1763604802240.jpg,KKMMER,rider_not_wearing_helmet (0.43); rider_not_wearing_helmet (0.21),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA45S1220,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA45S1220_1763603847626.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",Ignored,
KA09JL1858,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JL1858_1763603942082.jpg,KA09JL1858,rider_not_wearing_helmet (0.73),pillion_not_wearing_helmet (0.67),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA11EL9775,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA11EL9775_1763604435231.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider_not_wearing_helmet,Ignored,
KA55EC2637,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA55EC2637_1763604435266.jpg,A55EC2637,,pillion_not_wearing_helmet (0.23),,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA01JG5513,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA01JG5513_1763601540942.jpg,KA09JCKUN,rider_not_wearing_helmet (0.44),,,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA09JG9641,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JG9641_1763602939420.jpg,KA09JG9641,rider_not_wearing_helmet (0.80),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA04ES1988,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA04ES1988_1763604263030.jpg,KA09ES1988,rider_not_wearing_helmet (0.72),pillion_not_wearing_helmet (0.51),,,Violation detected,Correct Detection,"rider_not_wearing_helmet , pillion_not_wearing_helmet ",None,
KA09HS8439,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HS8439_1763603154771.jpg,KA09HS8439,rider_not_wearing_helmet (0.74),,,,Violation detected,Incomplete,pillion_not_wearing_helmet ,None,
KA09HW7295,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HW7295_1763604560657.jpg,KA09HW7295,rider_not_wearing_helmet (0.74),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA09JG0328,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JG0328_1763604560701.jpg,KA09JG0328,,pillion_not_wearing_helmet (0.37),,,Violation detected,Correct Detection,pillion_not_wearing_helmet ,None,
KA45R3527,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA45R3527_1763603482786.jpg,A45R3527,rider_not_wearing_helmet (0.69),,mobile_usage (0.30),,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA11EK4247,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA11EK4247_1763603154729.jpg,KASSE22229,,pillion_not_wearing_helmet (0.48),,,Violation detected,Incomplete,number_plate_not_detected_correctly,None,
KA09JD6289,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09JD6289_1763600101752.jpg,KA09JU6289,rider_not_wearing_helmet (0.60),,,,Violation detected,Incomplete,pillion_not_wearing_helmet ,None,
KA25EE6266,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA25EE6266_1763599347853.jpg,KA45EE6226,rider_not_wearing_helmet (0.49),,,,Violation detected,Correct Detection,rider_not_wearing_helmet,None,
KA10H2224,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA10H2224_1763604205451.jpg,VIII,rider_not_wearing_helmet (0.31),,,,Violation detected,Correct Detection,correct_detection,None,
KA09HH4220,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HH4220_1763606025654.jpg,KA09HH4220,,,,triple_riding (0.76),Violation detected,Correct Detection,triple riding,None,
KA09HM3900,http://203.201.61.110:7274/violation_images/2025/Nov/20/KA09HM3900_1763602939619.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,rider_not_wearing_helmet,Ignored,
